Train_No,Source_Station,Destination_Station,Total_Stops,Total_Distance
22415,VISAKHAPATNA,NEW DELHI,21,2083
22416,NEW DELHI,VISAKHAPATNA,21,2083
22417,VARANASI JN.,NEW DELHI,9,768
22418,NEW DELHI,VARANASI JN.,9,768
22419,GHAZIPUR CIT,ANAND VIHAR,12,809
22420,ANAND VIHAR,GHAZIPUR CIT,12,809
22421,DELHI-SARAI,BHAGAT-KI-KO,22,623
22422,BHAGAT-KI-KO,DELHI-SARAI,22,624
22423,GORAKHPUR JN,AMRITSAR JN.,16,1086
22424,AMRITSAR JN.,GORAKHPUR JN,16,1087
22427,BALLIA,ANAND VIHAR,11,876
22428,ANAND VIHAR,BALLIA,11,876
22429,DELHI JN.,PATHANKOT JN,15,553
22430,PATHANKOT JN,DELHI JN.,17,553
22431,ALLAHABAD JN,UDHAMPUR,18,1255
22432,UDHAMPUR,ALLAHABAD JN,18,1255
22433,GHAZIPUR CIT,ANAND VIHAR,11,822
22434,ANAND VIHAR,GHAZIPUR CIT,10,824
22439,NEW DELHI,SHMATA VD KATRA,5,655
22441,ALLAHABAD JN,KANPUR CENTR,9,194
22442,KANPUR CENTR,ALLAHABAD JN,9,194
22443,KANPUR CENTR,BANDRA TERMI,22,1607
22444,BANDRA TERMI,KANPUR CENTR,22,1608
22445,KANPUR CENTR,AMRITSAR JN.,14,897
22446,AMRITSAR JN.,KANPUR CENTR,14,897
22447,KHAJAURAHO,MAHOBA,2,63
22448,MAHOBA,KHAJAURAHO,2,63
22451,BANDRA TERMI,CHANDIGARH,24,1580
22452,CHANDIGARH,BANDRA TERMI,24,1583
22453,LUCKNOW JN.,MEERUT CITY,10,458
22454,MEERUT CITY,LUCKNOW JN.,10,458
22455,SAI NAGAR SH,KALKA,15,1615
22456,KALKA,SAI NAGAR SH,15,1618
22457,NANDED,UNA HIMACHAL,26,1849
22458,UNA HIMACHAL,NANDED,26,1852
22461,NEW DELHI,SHRI MATA VA,8,654
22462,SHRI MATA VA,NEW DELHI,8,654
22463,MERTA ROAD J,BIKANER JN.,4,172
22464,BIKANER JN.,MERTA ROAD J,4,173
22471,BIKANER JN.,DELHI-SARAI,14,455
22472,DELHI-SARAI,BIKANER JN.,14,455
22473,BIKANER JN.,BANDRA TERMI,23,1211
22474,BANDRA TERMI,BIKANER JN.,23,1209
22475,BIKANER JN.,COIMBATORE,34,2478
22476,COIMBATORE,BIKANER JN.,34,2482
22477,JODHPUR JN.,JAIPUR JN.,12,312
22478,JAIPUR JN.,JODHPUR JN.,12,311
22481,JODHPUR JN.,DELHI-SARAI,19,620
22482,DELHI-SARAI,JODHPUR JN.,19,619
22483,JODHPUR JN.,GANDHIDHAM J,14,558
22484,GANDHIDHAM J,JODHPUR JN.,14,558
22487,RADHIKAPUR,KATIHAR JN.,7,91
22488,KATIHAR JN.,RADHIKAPUR,7,91
22497,SHRI GANGANA,TIRUCHIRAPPA,37,3101
22501,KRANTIVIRA S,NEW TINSUKIA,41,3617
22502,NEW TINSUKIA,KRANTIVIRA S,39,3617
22511,LOKMANYA TIL,KAMAKHYA JN,27,3011
22512,KAMAKHYA JN,LOKMANYA TIL,27,3006
22531,CHHAPRA JN.,MATHURA JN.,22,879
22532,MATHURA JN.,CHHAPRA JN.,22,884
22601,CHENNAI CENT,SAI NAGAR SH,23,1391
22602,SAI NAGAR SH,CHENNAI CENT,24,1391
22603,KHARAGPUR,VILLUPURAM J,20,1779
22604,VILLUPURAM J,KHARAGPUR,20,1782
22605,PURULIA JN.,VILLUPURAM J,30,1984
22606,VILLUPURAM J,PURULIA JN.,30,1986
22607,ERNAKULAM. J,KRANTIVIRA S,14,617
22608,KRANTIVIRA S,ERNAKULAM. J,14,616
22609,MANGALORE CE,COIMBATORE,14,404
22610,COIMBATORE,MANGALORE CE,14,405
22611,CHENNAI CENT,NEW JALPAIGU,22,2295
22612,NEW JALPAIGU,CHENNAI CENT,22,2295
22613,CHENNAI CENT,HALDIA,15,1661
22614,HALDIA,CHENNAI CENT,15,1662
22615,TIRUPATI,COIMBATORE,8,466
22616,COIMBATORE,TIRUPATI,8,469
22617,KRANTIVIRA S,TIRUPATI,9,336
22618,TIRUPATI,KRANTIVIRA S,9,336
22619,BILASPUR JN.,TIRUNELVELI,30,2494
22620,TIRUNELVELI,BILASPUR JN.,30,2494
22621,RAMESWARAM,KANNIYAKUMAR,12,399
22622,KANNIYAKUMAR,RAMESWARAM,12,398
22623,CHENNAI EGMO,MADURAI JN,11,556
22624,MADURAI JN,CHENNAI EGMO,11,557
22625,CHENNAI CENT,KRANTIVIRA S,11,360
22626,KRANTIVIRA S,CHENNAI CENT,12,361
22627,TIRUCHIRAPPA,TRIVANDRUM C,13,457
22628,TRIVANDRUM C,TIRUCHIRAPPA,13,457
22629,DADAR,TIRUNELVELI,26,1758
22630,TIRUNELVELI,DADAR,26,1763
22631,CHENNAI CENT,BIKANER JN.,32,2560
22632,BIKANER JN.,CHENNAI CENT,32,2558
22633,TRIVANDRUM C,HAZRAT NIZAM,29,2841
22634,HAZRAT NIZAM,TRIVANDRUM C,29,2840
22635,MADGOAN JN.,MANGALORE CE,10,319
22636,MANGALORE CE,MADGOAN JN.,10,320
22637,CHENNAI CENT,MANGALORE CE,31,896
22638,MANGALORE CE,CHENNAI CENT,32,898
22639,CHENNAI CENT,ALLEPPEY,25,753
22640,ALLEPPEY,CHENNAI CENT,26,755
22641,TRIVANDRUM C,SHALIMAR,37,2565
22642,SHALIMAR,TRIVANDRUM C,37,2564
22643,ERNAKULAM. J,PATNA JN.,44,2785
22644,PATNA JN.,ERNAKULAM. J,42,2782
22645,INDORE BG,TRIVANDRUM C,52,2643
22646,TRIVANDRUM C,INDORE BG,51,2648
22647,KORBA,TRIVANDRUM C,55,2510
22648,TRIVANDRUM C,KORBA,55,2508
22649,CHENNAI CENT,ERODE JN.,18,390
22650,ERODE JN.,CHENNAI CENT,18,393
22651,CHENNAI CENT,PALAKKAD JN,19,669
22652,PALAKKAD JN,CHENNAI CENT,20,671
22653,TRIVANDRUM C,HAZRAT NIZAM,28,2854
22654,HAZRAT NIZAM,TRIVANDRUM C,28,2852
22655,TRIVANDRUM C,HAZRAT NIZAM,28,2841
22656,HAZRAT NIZAM,TRIVANDRUM C,28,2840
22659,KOCHUVELI,DEHRA DUN,26,3154
22660,DEHRA DUN,KOCHUVELI,27,3152
22661,CHENNAI EGMO,RAMESWARAM,19,592
22662,RAMESWARAM,CHENNAI EGMO,20,592
22663,CHENNAI EGMO,JODHPUR JN.,27,2353
22664,JODHPUR JN.,CHENNAI EGMO,27,2352
22667,NAGERCOIL JN,COIMBATORE,14,531
22668,COIMBATORE,NAGERCOIL JN,14,532
22669,TUTICORIN,VANCHI MANIY,4,31
22670,VANCHI MANIY,TUTICORIN,4,31
22677,YESVANTPUR J,KOCHUVELI,13,844
22678,KOCHUVELI,YESVANTPUR J,13,845
22679,YESVANTPUR J,HASSAN JN.,10,226
22680,HASSAN JN.,YESVANTPUR J,10,211
22681,MYSORE JN.,CHENNAI CENT,12,499
22682,CHENNAI CENT,MYSORE JN.,11,498
22683,YESVANTPUR J,LUCKNOW JN.,30,2352
22684,LUCKNOW JN.,YESVANTPUR J,31,2338
22685,YESVANTPUR J,CHANDIGARH,18,2846
22686,CHANDIGARH,YESVANTPUR J,18,2845
22687,SAHARANPUR J,CHANDIGARH,4,126
22688,CHANDIGARH,SAHARANPUR J,4,126
22691,KRANTIVIRA S,HAZRAT NIZAM,15,2337
22692,HAZRAT NIZAM,KRANTIVIRA S,15,2355
22697,HUBLI JN.,CHENNAI CENT,18,828
22698,CHENNAI CENT,HUBLI JN.,17,829
22705,TIRUPATI,JAMMU TAWI,14,2964
22706,JAMMU TAWI,TIRUPATI,14,2965
22707,VISAKHAPATNA,TIRUPATI,18,760
22708,TIRUPATI,VISAKHAPATNA,18,759
22801,VISAKHAPATNA,CHENNAI CENT,16,804
22803,HOWRAH JN.,SAMBALPUR JN,11,664
22804,SAMBALPUR JN,HOWRAH JN.,11,663
22805,BHUBANESWAR,ANAND VIHAR,18,1871
22806,ANAND VIHAR,BHUBANESWAR,18,1869
22807,SANTRAGACHI,CHENNAI CENT,18,1657
22808,CHENNAI CENT,SANTRAGACHI,18,1656
22809,PARADEEP,VISAKHAPATNA,17,552
22810,VISAKHAPATNA,PARADEEP,17,552
22811,BHUBANESWAR,NEW DELHI,14,1717
22812,NEW DELHI,BHUBANESWAR,14,1718
22813,SANTRAGACHI,PARADEEP,12,490
22814,PARADEEP,SANTRAGACHI,12,489
22815,BILASPUR JN.,ERNAKULAM. J,23,2144
22816,ERNAKULAM. J,BILASPUR JN.,23,2145
22817,HOWRAH JN.,MYSORE JN.,21,2106
22818,MYSORE JN.,HOWRAH JN.,23,2107
22819,BHUBANESWAR,VISAKHAPATNA,27,442
22821,JHARGRAM,PURULIA JN.,11,188
22822,PURULIA JN.,JHARGRAM,11,189
22823,BHUBANESWAR,NEW DELHI,13,1802
22824,NEW DELHI,BHUBANESWAR,13,1802
22825,SHALIMAR,CHENNAI CENT,24,1662
22826,CHENNAI CENT,SHALIMAR,24,1661
22827,PURI,SURAT,18,1766
22828,SURAT,PURI,18,1759
22829,NEW BHUJ,SHALIMAR,31,2431
22830,SHALIMAR,NEW BHUJ,31,2431
22831,HOWRAH JN.,SRI SATYA SA,19,1765
22832,SRI SATYA SA,HOWRAH JN.,19,1764
22833,BHUBANESWAR,KRISHNA RAJA,19,1511
22834,KRISHNA RAJA,BHUBANESWAR,19,1514
22835,SHALIMAR,PURI,11,502
22836,PURI,SHALIMAR,11,500
22837,HATIA,ERNAKULAM. J,28,2234
22838,ERNAKULAM. J,HATIA,27,2238
22839,ROURKELA,BHUBANESWAR,12,417
22840,BHUBANESWAR,ROURKELA,12,417
22843,BILASPUR JN.,PATNA JN.,22,966
22844,PATNA JN.,BILASPUR JN.,22,964
22845,PUNE JN.,HATIA,19,1771
22846,HATIA,PUNE JN.,19,1779
22847,VISAKHAPATNA,LOKMANYA TIL,23,1662
22848,LOKMANYA TIL,VISAKHAPATNA,24,1655
22849,SHALIMAR,SECUNDERABAD,20,1590
22850,SECUNDERABAD,SHALIMAR,20,1589
22851,SANTRAGACHI,MANGALORE CE,40,2485
22852,MANGALORE CE,SANTRAGACHI,40,2485
22853,SHALIMAR,VISAKHAPATNA,16,882
22854,VISAKHAPATNA,SHALIMAR,16,880
22855,SANTRAGACHI,TIRUPATI,18,1613
22856,TIRUPATI,SANTRAGACHI,18,1612
22857,SANTRAGACHI,ANAND VIHAR,11,1567
22858,ANAND VIHAR,SANTRAGACHI,11,1566
22859,PURI,CHENNAI CENT,21,1247
22860,CHENNAI CENT,PURI,21,1247
22861,SHALIMAR,ADRA,10,288
22862,ADRA,SHALIMAR,10,288
22863,HOWRAH JN.,YESVANTPUR J,12,1957
22864,YESVANTPUR J,HOWRAH JN.,12,1959
22865,LOKMANYA TIL,PURI,18,1853
22866,PURI,LOKMANYA TIL,18,1860
22867,DURG,HAZRAT NIZAM,16,1255
22868,HAZRAT NIZAM,DURG,16,1266
22869,VISAKHAPATNA,CHENNAI CENT,13,780
22870,CHENNAI CENT,VISAKHAPATNA,13,780
22871,BHUBANESWAR,TIRUPATI,19,1178
22872,TIRUPATI,BHUBANESWAR,19,1178
22873,DIGHA FS,VISAKHAPATNA,17,930
22874,VISAKHAPATNA,DIGHA FS,16,930
22875,KHARAGPUR,PURULIA JN.,14,207
22876,PURULIA JN.,KHARAGPUR,14,207
22877,HOWRAH JN.,ERNAKULAM. J,24,2289
22878,ERNAKULAM. J,HOWRAH JN.,24,2293
22879,BHUBANESWAR,TIRUPATI,21,1178
22880,TIRUPATI,BHUBANESWAR,21,1178
22881,PUNE JN.,BHUBANESWAR,14,1705
22882,BHUBANESWAR,PUNE JN.,14,1706
22883,PURI,YESVANTPUR J,27,1493
22884,YESVANTPUR J,PURI,28,1504
22885,LOKMANYA TIL,TATANAGAR JN,14,1701
22886,TATANAGAR JN,LOKMANYA TIL,14,1704
22887,HOWRAH JN.,YESVANTPUR J,19,1970
22888,YESVANTPUR J,HOWRAH JN.,20,1973
22889,DIGHA FS,PURI,13,550
22890,PURI,DIGHA FS,13,550
22891,HOWRAH JN.,RANCHI,14,469
22892,RANCHI,HOWRAH JN.,15,466
22893,SAI NAGAR SH,HOWRAH JN.,16,1795
22894,HOWRAH JN.,SAI NAGAR SH,16,1801
22897,HOWRAH JN.,DIGHA FS,9,185
22898,DIGHA FS,HOWRAH JN.,9,186
22901,BANDRA TERMI,UDAIPUR CITY,16,944
22902,UDAIPUR CITY,BANDRA TERMI,16,945
22903,BANDRA TERMI,NEW BHUJ,8,838
22904,NEW BHUJ,BANDRA TERMI,8,838
22905,OKHA,HAPA,5,176
22906,HAPA,OKHA,5,176
22907,MADGOAN JN.,HAPA,18,1352
22908,HAPA,MADGOAN JN.,18,1348
22909,VALSAD,PURI,24,2073
22910,PURI,VALSAD,24,2075
22911,INDORE BG,HOWRAH JN.,34,1744
22912,HOWRAH JN.,INDORE BG,34,1745
22914,PATNA JN.,BANDRA TERMI,13,1846
22915,BANDRA TERMI,HISAR JN,30,1404
22916,HISAR JN,BANDRA TERMI,30,1405
22917,BANDRA TERMI,HARIDWAR JN,26,1610
22918,HARIDWAR JN,BANDRA TERMI,26,1613
22919,CHENNAI CENT,AHMEDABAD,12,1721
22920,AHMEDABAD,CHENNAI CENT,12,1719
22925,AMBALA CANTT,KALKA,3,69
22926,KALKA,AMBALA CANTT,3,69
22927,BANDRA TERMI,AHMEDABAD,22,480
22928,AHMEDABAD,BANDRA TERMI,17,480
22929,BHILAD,VADODARA JN.,14,234
22930,VADODARA JN.,BHILAD,14,234
22931,BANDRA TERMI,JAISALMER,27,1226
22932,JAISALMER,BANDRA TERMI,27,1227
22933,BANDRA TERMI,JAIPUR JN.,15,1146
22934,JAIPUR JN.,BANDRA TERMI,15,1147
22935,BANDRA TERMI,PALITANA,12,787
22936,PALITANA,BANDRA TERMI,12,787
22937,RAJKOT,REWA,23,1600
22938,REWA,RAJKOT,23,1600
22939,HAPA,BILASPUR JN.,23,1689
22940,BILASPUR JN.,HAPA,23,1697
22941,INDORE BG,JAMMU TAWI,16,1393
22942,JAMMU TAWI,INDORE BG,16,1396
22943,PUNE JN.,INDORE BG,17,963
22944,INDORE BG,PUNE JN.,17,963
22945,MUMBAI CENTR,OKHA,30,986
22946,OKHA,MUMBAI CENTR,31,986
22949,BANDRA TERMI,DELHI-SARAI,27,1342
22951,BANDRA TERMI,GANDHIDHAM J,15,853
22952,GANDHIDHAM J,BANDRA TERMI,15,853
22953,MUMBAI CENTR,AHMEDABAD,27,490
22954,AHMEDABAD,MUMBAI CENTR,27,490
22955,BANDRA TERMI,NEW BHUJ,22,838
22956,NEW BHUJ,BANDRA TERMI,22,838
22957,AHMEDABAD,VERAVAL,16,430
22959,SURAT,JAMNAGAR,21,556
22960,JAMNAGAR,SURAT,21,556
22961,SURAT,HAPA,18,547
22962,HAPA,SURAT,18,547
22963,BANDRA TERMI,BHAVNAGAR TE,18,780
22964,BHAVNAGAR TE,BANDRA TERMI,18,780
22965,BANDRA TERMI,BHAGAT-KI-KO,10,929
22966,BHAGAT-KI-KO,BANDRA TERMI,10,931
22967,AHMEDABAD,ALLAHABAD JN,20,1488
22968,ALLAHABAD JN,AHMEDABAD,20,1487
22969,OKHA,VARANASI JN.,23,2023
22970,VARANASI JN.,OKHA,23,2024
22971,BANDRA TERMI,PATNA JN.,14,1847
22972,PATNA JN.,BANDRA TERMI,14,1846
22973,GANDHIDHAM J,PURI,38,2436
22974,PURI,GANDHIDHAM J,38,2443
22981,KOTA,SHRI GANGANA,28,918
22982,SHRI GANGANA,KOTA,28,919
22983,KOTA,INDORE BG,14,432
22989,BANDRA TERMI,MAHUVA,16,881
22990,MAHUVA,BANDRA TERMI,16,881
22991,BANDRA TERMI,VERAVAL,12,910
22992,VERAVAL,BANDRA TERMI,12,910
22993,BANDRA TERMI,MAHUVA,15,881
22994,MAHUVA,BANDRA TERMI,15,881
22995,CHITTAURGARH,AJMER JN.,4,185
22996,AJMER JN.,CHITTAURGARH,4,185
23141,RANINAGAR JA,HALDIBARI,3,30
23142,HALDIBARI,RANINAGAR JA,3,30
23225,SAHARSA JN.,BARAUNI JN.,11,109
23226,BARAUNI JN.,SAHARSA JN.,11,109
23345,CHOPAN,SHAKTINAGAR,6,81
23346,SHAKTINAGAR,CHOPAN,6,81
23347,SINGRAULI,GARWA ROAD J,11,204
23348,GARWA ROAD J,SINGRAULI,11,204
24041,NAJIBABAD JN,KOTDWARA,3,24
24042,KOTDWARA,NAJIBABAD JN,3,24
24227,VARANASI JN.,KANPUR CENTR,15,349
24228,KANPUR CENTR,VARANASI JN.,15,349
24369,SHAKTINAGAR,BAREILLY JN.,38,740
24370,BAREILLY JN.,SHAKTINAGAR,38,740
24887,HARIDWAR JN,AMBALA CANTT,6,157
24888,AMBALA CANTT,HARIDWAR JN,6,157
25013,MORADABAD JN,RAMNAGAR,3,76
25014,RAMNAGAR,MORADABAD JN,3,76
25035,MORADABAD JN,RAMNAGAR,3,76
25036,RAMNAGAR,MORADABAD JN,3,76
25201,SAGAULI JN.,NARKATIAGANJ,6,58
25202,NARKATIAGANJ,SAGAULI JN.,6,58
25631,BIKANER JN.,MERTA ROAD J,4,173
25632,MERTA ROAD J,BIKANER JN.,4,172
25657,SEALDAH,SILCHAR,37,1358
25658,SILCHAR,SEALDAH,37,1357
28181,BARAUNI JN.,KATIHAR JN.,14,179
28182,KATIHAR JN.,BARAUNI JN.,14,179
29019,MANDSOR,KOTA,8,276
29020,KOTA,MANDSOR,8,276
30111,BALLYGUNGE J,BARRACKPORE,23,45
30112,BARRACKPORE,MAJERHAT,19,33
30116,BARRACKPORE,BENOY BADAL,14,25
30121,NEW ALIPUR (,NAIHATI JN.,26,51
30122,NAIHATI JN.,BALLYGUNGE J,29,60
30123,MAJERHAT,NAIHATI JN.,25,49
30128,KALYANI SIMA,NEW ALIPUR (,32,66
30135,MAJERHAT,RANAGHAT JN.,34,84
30142,GEDE,MAJERHAT,42,128
30145,BENOY BADAL,KRISHNA NAGA,34,102
30152,NAIHATI JN.,MAJERHAT,21,53
30154,NAIHATI JN.,MAJERHAT,21,53
30211,BENOY BADAL,DUM DUM JN.,8,9
30311,PRINCEP GHAT,BARASAT JN.,18,28
30312,BARASAT JN.,MAJERHAT,21,33
30313,MAJERHAT,BARASAT JN.,21,33
30314,DATTAPUKUR,MAJERHAT,23,41
30317,MAJERHAT,DATTAPUKUR,23,41
30321,MAJERHAT,HASANABAD,35,85
30322,HASANABAD,BENOY BADAL,34,77
30324,HASANABAD,PRINCEP GHAT,36,80
30331,MAJERHAT,HABRA,27,55
30332,HABRA,MAJERHAT,27,55
30333,MAJERHAT,HABRA,27,55
30342,BANGAON JN.,MAJERHAT,28,87
30344,BANGAON JN.,MAJERHAT,34,87
30346,BANGAON JN.,MAJERHAT,34,87
30351,MAJERHAT,BARASAT JN.,17,37
30353,MAJERHAT,DATTAPUKUR,19,45
30357,MAJERHAT,MADHYAM GRAM,15,33
30358,MADHYAM GRAM,MAJERHAT,15,33
30361,MAJERHAT,HASANABAD,31,90
30411,BENOY BADAL,SEALDAH,11,24
30412,SEALDAH,BENOY BADAL,11,24
30413,BENOY BADAL,SEALDAH,11,24
30414,SEALDAH,BENOY BADAL,11,24
30416,SEALDAH,BENOY BADAL,11,24
30451,BENOY BADAL,SEALDAH,11,24
30452,SEALDAH,KOLKATA,16,31
30511,CHAMPAHATI,MAJERHAT,14,30
30552,MAJERHAT,GHUTIARI SHA,17,37
30612,KOLKATA,BARUIPUR JN.,24,46
30711,LAKSHMIKANTA,MAJERHAT,26,67
30712,MAJERHAT,LAKSHMIKANTA,26,67
31051,BUDGE BUDGE,NAIHATI JN.,26,67
31053,BUDGE BUDGE,NAIHATI JN.,26,67
31055,BUDGE BUDGE,NAIHATI JN.,26,67
31111,SEALDAH,KATWA JN.,39,154
31112,KATWA JN.,SEALDAH,37,154
31151,SEALDAH,BARDDHAMAN J,35,116
31152,BARDDHAMAN J,SEALDAH,35,116
31191,NAIHATI JN.,KALYANI SIMA,7,15
31192,KALYANI SIMA,NAIHATI JN.,7,15
31211,SEALDAH,BARRACKPORE,9,25
31212,BARRACKPORE,SEALDAH,9,25
31213,SEALDAH,BARRACKPORE,4,25
31214,BARRACKPORE,SEALDAH,5,25
31215,SEALDAH,BARRACKPORE,5,25
31216,BARRACKPORE,SEALDAH,9,25
31217,SEALDAH,BARRACKPORE,9,25
31218,BARRACKPORE,SEALDAH,7,25
31219,SEALDAH,BARRACKPORE,9,25
31220,BARRACKPORE,SEALDAH,9,25
31221,SEALDAH,BARRACKPORE,9,25
31222,BARRACKPORE,SEALDAH,9,25
31223,SEALDAH,BARRACKPORE,9,25
31224,BARRACKPORE,SEALDAH,9,25
31225,SEALDAH,BARRACKPORE,9,25
31226,BARRACKPORE,SEALDAH,9,25
31227,SEALDAH,BARRACKPORE,9,25
31228,BARRACKPORE,SEALDAH,9,25
31229,SEALDAH,BARRACKPORE,9,25
31230,BARRACKPORE,SEALDAH,9,25
31231,SEALDAH,BARRACKPORE,9,25
31232,BARRACKPORE,SEALDAH,9,25
31233,SEALDAH,BARRACKPORE,9,25
31234,BARRACKPORE,SEALDAH,9,25
31235,SEALDAH,BARRACKPORE,9,25
31236,BARRACKPORE,SEALDAH,9,25
31237,SEALDAH,BARRACKPORE,9,25
31238,BARRACKPORE,SEALDAH,9,25
31239,SEALDAH,BARRACKPORE,9,25
31240,BARRACKPORE,SEALDAH,9,25
31241,SEALDAH,BARRACKPORE,9,25
31261,KANKURGACHHI,BARRACKPORE,9,20
31311,SEALDAH,KALYANI SIMA,21,55
31312,KALYANI SIMA,SEALDAH,21,55
31313,SEALDAH,KALYANI SIMA,21,55
31314,KALYANI SIMA,SEALDAH,21,55
31315,SEALDAH,KALYANI SIMA,21,55
31316,KALYANI SIMA,SEALDAH,21,55
31317,SEALDAH,KALYANI SIMA,21,55
31318,KALYANI SIMA,SEALDAH,21,55
31319,SEALDAH,KALYANI SIMA,21,55
31320,KALYANI SIMA,SEALDAH,12,55
31321,SEALDAH,KALYANI SIMA,21,55
31322,KALYANI SIMA,SEALDAH,21,55
31323,SEALDAH,KALYANI SIMA,21,55
31324,KALYANI SIMA,SEALDAH,21,55
31325,SEALDAH,KALYANI SIMA,21,55
31326,KALYANI SIMA,SEALDAH,21,55
31327,SEALDAH,KALYANI SIMA,21,55
31328,KALYANI SIMA,SEALDAH,21,55
31329,SEALDAH,KALYANI SIMA,21,55
31330,KALYANI SIMA,SEALDAH,21,55
31331,SEALDAH,KALYANI SIMA,21,55
31332,KALYANI SIMA,SEALDAH,21,55
31333,SEALDAH,KALYANI SIMA,21,55
31334,KALYANI SIMA,SEALDAH,21,55
31335,SEALDAH,KALYANI SIMA,21,55
31336,KALYANI SIMA,SEALDAH,21,55
31337,SEALDAH,KALYANI SIMA,13,55
31338,KALYANI SIMA,SEALDAH,21,55
31339,SEALDAH,KALYANI SIMA,21,55
31411,SEALDAH,NAIHATI JN.,9,40
31412,NAIHATI JN.,SEALDAH,15,40
31413,SEALDAH,NAIHATI JN.,15,40
31414,NAIHATI JN.,SEALDAH,15,40
31415,SEALDAH,NAIHATI JN.,15,40
31416,NAIHATI JN.,SEALDAH,15,40
31417,SEALDAH,NAIHATI JN.,15,40
31418,NAIHATI JN.,SEALDAH,15,40
31420,NAIHATI JN.,SEALDAH,15,40
31421,SEALDAH,NAIHATI JN.,15,40
31422,NAIHATI JN.,SEALDAH,15,40
31423,SEALDAH,NAIHATI JN.,15,40
31424,NAIHATI JN.,SEALDAH,15,40
31425,SEALDAH,NAIHATI JN.,15,40
31426,NAIHATI JN.,SEALDAH,15,40
31427,SEALDAH,NAIHATI JN.,15,40
31428,NAIHATI JN.,SEALDAH,15,40
31429,SEALDAH,NAIHATI JN.,15,40
31430,NAIHATI JN.,SEALDAH,15,40
31431,SEALDAH,NAIHATI JN.,15,40
31432,NAIHATI JN.,SEALDAH,15,40
31433,SEALDAH,NAIHATI JN.,15,40
31434,NAIHATI JN.,SEALDAH,15,40
31435,SEALDAH,NAIHATI JN.,15,40
31436,NAIHATI JN.,SEALDAH,15,40
31437,SEALDAH,NAIHATI JN.,15,40
31438,NAIHATI JN.,SEALDAH,15,40
31439,SEALDAH,NAIHATI JN.,15,40
31440,NAIHATI JN.,SEALDAH,15,40
31441,SEALDAH,NAIHATI JN.,15,40
31442,NAIHATI JN.,SEALDAH,15,40
31443,SEALDAH,NAIHATI JN.,15,40
31444,NAIHATI JN.,SEALDAH,15,40
31445,SEALDAH,NAIHATI JN.,15,40
31446,NAIHATI JN.,SEALDAH,15,40
31447,SEALDAH,NAIHATI JN.,15,40
31448,NAIHATI JN.,SEALDAH,15,40
31449,SEALDAH,NAIHATI JN.,15,40
31450,NAIHATI JN.,SEALDAH,15,40
31451,SEALDAH,NAIHATI JN.,15,40
31471,KANKURGACHHI,NAIHATI JN.,15,35
31511,SEALDAH,SHANTIPUR JN,29,96
31512,SHANTIPUR JN,SEALDAH,28,96
31513,SEALDAH,SHANTIPUR JN,28,96
31514,SHANTIPUR JN,SEALDAH,29,96
31515,SEALDAH,SHANTIPUR JN,29,96
31516,SHANTIPUR JN,SEALDAH,29,96
31517,SEALDAH,SHANTIPUR JN,29,96
31518,SHANTIPUR JN,SEALDAH,25,96
31519,SEALDAH,SHANTIPUR JN,27,96
31520,SHANTIPUR JN,SEALDAH,28,96
31521,SEALDAH,SHANTIPUR JN,29,96
31522,SHANTIPUR JN,SEALDAH,29,96
31523,SEALDAH,SHANTIPUR JN,27,96
31524,SHANTIPUR JN,SEALDAH,28,96
31525,SEALDAH,SHANTIPUR JN,28,96
31526,SHANTIPUR JN,SEALDAH,29,96
31527,SEALDAH,SHANTIPUR JN,29,96
31528,SHANTIPUR JN,SEALDAH,27,96
31529,SEALDAH,SHANTIPUR JN,29,96
31530,SHANTIPUR JN,SEALDAH,29,96
31531,SEALDAH,SHANTIPUR JN,23,96
31532,SHANTIPUR JN,SEALDAH,29,96
31533,SEALDAH,SHANTIPUR JN,27,96
31534,SHANTIPUR JN,SEALDAH,24,96
31535,SEALDAH,SHANTIPUR JN,27,96
31536,SHANTIPUR JN,SEALDAH,26,96
31537,SEALDAH,SHANTIPUR JN,28,96
31538,SHANTIPUR JN,SEALDAH,28,96
31539,SEALDAH,SHANTIPUR JN,28,96
31540,SHANTIPUR JN,SEALDAH,27,96
31541,SEALDAH,SHANTIPUR JN,28,96
31542,SHANTIPUR JN,SEALDAH,27,96
31571,RANAGHAT JN.,KRISHNA NAGA,6,35
31584,KRISHNA NAGA,SHANTIPUR JN,2,15
31585,SHANTIPUR JN,KRISHNA NAGA,2,15
31586,KRISHNA NAGA,SHANTIPUR JN,2,15
31601,SEALDAH,RANAGHAT JN.,24,76
31602,RANAGHAT JN.,SEALDAH,24,76
31611,SEALDAH,RANAGHAT JN.,23,76
31612,RANAGHAT JN.,SEALDAH,24,76
31613,SEALDAH,RANAGHAT JN.,24,76
31614,RANAGHAT JN.,SEALDAH,24,76
31615,SEALDAH,RANAGHAT JN.,24,76
31616,RANAGHAT JN.,SEALDAH,24,76
31617,SEALDAH,RANAGHAT JN.,24,76
31618,RANAGHAT JN.,SEALDAH,11,76
31619,SEALDAH,RANAGHAT JN.,12,76
31620,RANAGHAT JN.,SEALDAH,20,76
31621,SEALDAH,RANAGHAT JN.,24,76
31622,RANAGHAT JN.,SEALDAH,24,76
31623,SEALDAH,RANAGHAT JN.,23,76
31624,RANAGHAT JN.,SEALDAH,24,76
31625,SEALDAH,RANAGHAT JN.,16,76
